name,position,image
Dr. Rajendra Dhoj Joshi,President,https://www.mbust.edu.np/storage/posts/01KHJMD0SP4TW3J3A1BXP7JXC4.jpg
Dr. Dinesh Raj Bhuju,Vice President - Academic and Research,https://www.mbust.edu.np/storage/posts/01KGM4Q3MG96H9RW64BBYVYABG.jpeg
Mr. Padma Sunder Joshi,Vice President - Admin &  Finance,https://www.mbust.edu.np/storage/posts/01KKB8CYG0SA4BG5ZZFD38XQC7.png
Dr. Kirti Kusum Joshi,"Director, Institute of Applied Sciences",https://www.mbust.edu.np/storage/posts/01KGM1MT91VYSZMJA3MQ7X8GYQ.PNG
Dr. Sanjay Nath Khanal,Academic Advisor,https://www.mbust.edu.np/storage/posts/01KGMB5M8Y0DM7VVTV8BQ07QPW.jpg
